shobi_code,shobi_name,brand_hint,brand_catalog_size,classification,margin,cand1_id,cand1_brand,cand1_name,cand1_score,cand1_spell,cand1_recall,cand1_precision,cand1_url,cand2_id,cand2_brand,cand2_name,cand2_score,cand2_spell,cand2_recall,cand2_precision,cand2_url,cand3_id,cand3_brand,cand3_name,cand3_score,cand3_spell,cand3_recall,cand3_precision,cand3_url,cand4_id,cand4_brand,cand4_name,cand4_score,cand4_spell,cand4_recall,cand4_precision,cand4_url,cand5_id,cand5_brand,cand5_name,cand5_score,cand5_spell,cand5_recall,cand5_precision,cand5_url,cand6_id,cand6_brand,cand6_name,cand6_score,cand6_spell,cand6_recall,cand6_precision,cand6_url,cand7_id,cand7_brand,cand7_name,cand7_score,cand7_spell,cand7_recall,cand7_precision,cand7_url,cand8_id,cand8_brand,cand8_name,cand8_score,cand8_spell,cand8_recall,cand8_precision,cand8_url,cand9_id,cand9_brand,cand9_name,cand9_score,cand9_spell,cand9_recall,cand9_precision,cand9_url,cand10_id,cand10_brand,cand10_name,cand10_score,cand10_spell,cand10_recall,cand10_precision,cand10_url
118-HAM,REHAN - HAMIDI OUD,,55556,WEAK,0.0000,95512,Maison Alhambra,Ethnic Oud,0.5291,0.6087,0.3333,0.5000,https://www.fragrantica.com/perfume/Maison-Alhambra/Ethnic-Oud-95512.html,94050,Ard Al Zaafaran,Dirham Oud,0.5291,0.6087,0.3333,0.5000,https://www.fragrantica.com/perfume/Ard-Al-Zaafaran/Dirham-Oud-94050.html,50582,Swiss Arabian,Shaghaf Oud,0.5133,0.5833,0.3333,0.5000,https://www.fragrantica.com/perfume/Swiss-Arabian/Shaghaf-Oud-50582.html,128034,Adil Qadri,Shanaya Oud,0.5133,0.5833,0.3333,0.5000,https://www.fragrantica.com/perfume/Adil-Qadri/Shanaya-Oud-128034.html,122954,AMD Perfumes,Santini Oud,0.5133,0.5833,0.3333,0.5000,https://www.fragrantica.com/perfume/AMD-Perfumes/Santini-Oud-122954.html,87318,Ard Al Zaafaran,Hayaati Oud,0.5133,0.5833,0.3333,0.5000,https://www.fragrantica.com/perfume/Ard-Al-Zaafaran/Hayaati-Oud-87318.html,76872,Aromas de Salazar,Oceanic Oud,0.5133,0.5833,0.3333,0.5000,https://www.fragrantica.com/perfume/Aromas-de-Salazar/Oceanic-Oud-76872.html,119013,Asad Siddiki,Seaside Oud,0.5133,0.5833,0.3333,0.5000,https://www.fragrantica.com/perfume/Asad-Siddiki/Seaside-Oud-119013.html,131389,Asad Siddiki,No 1 Cambodi Oud,0.5082,0.6154,0.3333,0.3333,https://www.fragrantica.com/perfume/Asad-Siddiki/No-1-Cambodi-Oud-131389.html,52629,Al Ambra,Hala Oud,0.5060,0.5714,0.3333,0.5000,https://www.fragrantica.com/perfume/Al-Ambra/Hala-Oud-52629.html
130-LEL,SANTAL 26 - LE LABO,le labo,65,WEAK,0.0160,12201,Le Labo,Santal 33,0.4707,0.5455,0.2500,0.5000,https://www.fragrantica.com/perfume/Le-Labo/Santal-33-12201.html,17278,Le Labo,Santal 33 Perfume Oil,0.4547,0.5600,0.2500,0.3333,https://www.fragrantica.com/perfume/Le-Labo/Santal-33-Perfume-Oil-17278.html,69731,Le Labo,The Matcha 26,0.4143,0.4545,0.2500,0.5000,https://www.fragrantica.com/perfume/Le-Labo/The-Matcha-26-69731.html,12212,Le Labo,Baie Rose 26 Chicago,0.2950,0.3226,0.2500,0.2500,https://www.fragrantica.com/perfume/Le-Labo/Baie-Rose-26-Chicago-12212.html,10768,Le Labo,Chant De Bois,0.2696,0.4348,0.0000,0.0000,https://www.fragrantica.com/perfume/Le-Labo/Chant-De-Bois-10768.html,6340,Le Labo,Vanille 44 Paris,0.2657,0.4286,0.0000,0.0000,https://www.fragrantica.com/perfume/Le-Labo/Vanille-44-Paris-6340.html,17276,Le Labo,Patchouli 24 Perfume Oil,0.2214,0.3571,0.0000,0.0000,https://www.fragrantica.com/perfume/Le-Labo/Patchouli-24-Perfume-Oil-17276.html,10131,Le Labo,Another 13,0.2157,0.3478,0.0000,0.0000,https://www.fragrantica.com/perfume/Le-Labo/Another-13-10131.html,6333,Le Labo,Aldehyde 44 Dallas,0.2067,0.3333,0.0000,0.0000,https://www.fragrantica.com/perfume/Le-Labo/Aldehyde-44-Dallas-6333.html,6338,Le Labo,Musc 25 Los Angeles,0.2067,0.3333,0.0000,0.0000,https://www.fragrantica.com/perfume/Le-Labo/Musc-25-Los-Angeles-6338.html
133-MICA,YLANG IN GOLD - M,,55556,REVIEW,0.0000,46469,By Kilian,Woman in Gold,0.7410,0.7059,0.6667,1.0000,https://www.fragrantica.com/perfume/By-Kilian/Woman-in-Gold-46469.html,36874,City Parfum,In Gold,0.7410,0.7059,0.6667,1.0000,https://www.fragrantica.com/perfume/City-Parfum/In-Gold-36874.html,7315,O Boticario,Floratta in Gold,0.6501,0.6400,0.6667,0.6667,https://www.fragrantica.com/perfume/O-Boticario/Floratta-in-Gold-7315.html,17880,Demeter Fragrance,Ylang Ylang,0.6400,0.6667,0.3333,1.0000,https://www.fragrantica.com/perfume/Demeter-Fragrance/Ylang-Ylang-17880.html,26235,Companhia da Terra,Ylang Ylang,0.6400,0.6667,0.3333,1.0000,https://www.fragrantica.com/perfume/Companhia-da-Terra/Ylang-Ylang-26235.html,41661,E Coudray,Ylang Ylang,0.6400,0.6667,0.3333,1.0000,https://www.fragrantica.com/perfume/E-Coudray/Ylang-Ylang-41661.html,78617,Lattafa Perfumes,Najdia in Gold,0.6307,0.6087,0.6667,0.6667,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Najdia-in-Gold-78617.html,42314,Compagnie de Provence,Ylang,0.6142,0.6250,0.3333,1.0000,https://www.fragrantica.com/perfume/Compagnie-de-Provence/Ylang-42314.html,32693,Victoria s Secret,Angel Gold,0.5857,0.7000,0.3333,0.5000,https://www.fragrantica.com/perfume/Victoria-s-Secret/Angel-Gold-32693.html,73227,Al Haramain Perfumes,Hayati Gold,0.5650,0.6667,0.3333,0.5000,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Hayati-Gold-73227.html
166-AZ,Sequoia Wood Eau de Parfum,,55556,REVIEW,0.0750,39790,Abbott New York City,Sequoia,0.7472,0.7778,0.5000,1.0000,https://www.fragrantica.com/perfume/Abbott-New-York-City/Sequoia-39790.html,19379,Abdes Salaam Attars Perfumes,Sea Wood,0.6722,0.7778,0.5000,0.5000,https://www.fragrantica.com/perfume/Abdes-Salaam-Attars-Perfumes/Sea-Wood-19379.html,63800,Mancera,Aqua Wood,0.6468,0.7368,0.5000,0.5000,https://www.fragrantica.com/perfume/Mancera/Aqua-Wood-63800.html,73778,Amira Parfums,Sensual Wood,0.6409,0.7273,0.5000,0.5000,https://www.fragrantica.com/perfume/Amira-Parfums/Sensual-Wood-73778.html,80233,Ainash Parfums,Sugar Wood,0.6240,0.7000,0.5000,0.5000,https://www.fragrantica.com/perfume/Ainash-Parfums/Sugar-Wood-80233.html,79547,Al Jazeera Perfumes,Sidra Wood,0.6240,0.7000,0.5000,0.5000,https://www.fragrantica.com/perfume/Al-Jazeera-Perfumes/Sidra-Wood-79547.html,32391,Collistar,Acqua Wood,0.6240,0.7000,0.5000,0.5000,https://www.fragrantica.com/perfume/Collistar/Acqua-Wood-32391.html,52112,Be Style Perfumes,Siberian Wood,0.6213,0.6957,0.5000,0.5000,https://www.fragrantica.com/perfume/Be-Style-Perfumes/Siberian-Wood-52112.html,119194,Ajmal,Oak Wood,0.6033,0.6667,0.5000,0.5000,https://www.fragrantica.com/perfume/Ajmal/Oak-Wood-119194.html,121753,ANILLO,Neroli Wood,0.6033,0.6667,0.5000,0.5000,https://www.fragrantica.com/perfume/ANILLO/Neroli-Wood-121753.html
171-DUP,Souvenirs De Malles Oud Oriental,,55556,REVIEW,0.0604,22819,Versace,Versace Pour Femme Oud Oriental,0.6941,0.7727,0.5000,0.6667,https://www.fragrantica.com/perfume/Versace/Versace-Pour-Femme-Oud-Oriental-22819.html,27483,Al Musbah,Oud Oriental,0.6336,0.5946,0.5000,1.0000,https://www.fragrantica.com/perfume/Al-Musbah/Oud-Oriental-27483.html,119772,Al Ambra,Oriental Oud,0.5331,0.4324,0.5000,1.0000,https://www.fragrantica.com/perfume/Al-Ambra/Oriental-Oud-119772.html,61628,Alexandria Fragrances,Oriental Oud,0.5331,0.4324,0.5000,1.0000,https://www.fragrantica.com/perfume/Alexandria-Fragrances/Oriental-Oud-61628.html,127633,Arabian Oud,Oriental Oud,0.5331,0.4324,0.5000,1.0000,https://www.fragrantica.com/perfume/Arabian-Oud/Oriental-Oud-127633.html,137619,Dar El Ward,Oriental Oud,0.5331,0.4324,0.5000,1.0000,https://www.fragrantica.com/perfume/Dar-El-Ward/Oriental-Oud-137619.html,115548,Arabiyat Prestige,Ramad Oriental,0.5140,0.6154,0.2500,0.5000,https://www.fragrantica.com/perfume/Arabiyat-Prestige/Ramad-Oriental-115548.html,110667,Al Ghaliyah,Santal Oriental,0.5045,0.6000,0.2500,0.5000,https://www.fragrantica.com/perfume/Al-Ghaliyah/Santal-Oriental-110667.html,16574,Zara,Oriental,0.4993,0.4706,0.2500,1.0000,https://www.fragrantica.com/perfume/Zara/Oriental-16574.html,72064,Casaniche,Oriental,0.4993,0.4706,0.2500,1.0000,https://www.fragrantica.com/perfume/Casaniche/Oriental-72064.html
172-SHALM,Moroccan-musk,,55556,WEAK,0.0000,20159,Al Rehab,Moroccan Rose,0.6550,0.7500,0.5000,0.5000,https://www.fragrantica.com/perfume/Al-Rehab/Moroccan-Rose-20159.html,21135,Angela Flanders,Moroccan Rose,0.6550,0.7500,0.5000,0.5000,https://www.fragrantica.com/perfume/Angela-Flanders/Moroccan-Rose-21135.html,113688,Azari Parfumery,Moroccan Rose,0.6550,0.7500,0.5000,0.5000,https://www.fragrantica.com/perfume/Azari-Parfumery/Moroccan-Rose-113688.html,37615,Bohdidharma,Moroccan Mint,0.6550,0.7500,0.5000,0.5000,https://www.fragrantica.com/perfume/Bohdidharma/Moroccan-Mint-37615.html,93541,Maison Alhambra,Modern Musk,0.6409,0.7273,0.5000,0.5000,https://www.fragrantica.com/perfume/Maison-Alhambra/Modern-Musk-93541.html,57780,Alfred Dunhill,Moroccan Amber,0.6364,0.7200,0.5000,0.5000,https://www.fragrantica.com/perfume/Alfred-Dunhill/Moroccan-Amber-57780.html,25410,Crabtree Evelyn,Moroccan Myrrh,0.6364,0.7200,0.5000,0.5000,https://www.fragrantica.com/perfume/Crabtree-Evelyn/Moroccan-Myrrh-25410.html,35100,Aquolina,More e Musk,0.6240,0.7000,0.5000,0.5000,https://www.fragrantica.com/perfume/Aquolina/More-e-Musk-35100.html,54264,Alkemia Perfumes,Moroccan Tea,0.6213,0.6957,0.5000,0.5000,https://www.fragrantica.com/perfume/Alkemia-Perfumes/Moroccan-Tea-54264.html,36855,And Other Stories,Moroccan Tea,0.6213,0.6957,0.5000,0.5000,https://www.fragrantica.com/perfume/And-Other-Stories/Moroccan-Tea-36855.html
184-YAS,HUBOOB,,55556,WEAK,0.0000,6468,Agustin Davila,Hub,0.4133,0.6667,0.0000,0.0000,https://www.fragrantica.com/perfume/Agustin-Davila/Hub-6468.html,17167,Agustin Davila,Hub,0.4133,0.6667,0.0000,0.0000,https://www.fragrantica.com/perfume/Agustin-Davila/Hub-17167.html,134904,Al A raaf,Hub,0.4133,0.6667,0.0000,0.0000,https://www.fragrantica.com/perfume/Al-A-raaf/Hub-134904.html,22050,Arabian Oud,Ghroob,0.4133,0.6667,0.0000,0.0000,https://www.fragrantica.com/perfume/Arabian-Oud/Ghroob-22050.html,58823,Hugo Boss,Hugo Now,0.3815,0.6154,0.0000,0.0000,https://www.fragrantica.com/perfume/Hugo-Boss/Hugo-Now-58823.html,56666,Asgharali,Shurooq,0.3815,0.6154,0.0000,0.0000,https://www.fragrantica.com/perfume/Asgharali/Shurooq-56666.html,109445,Athoor Al Alam,Khulood,0.3815,0.6154,0.0000,0.0000,https://www.fragrantica.com/perfume/Athoor-Al-Alam/Khulood-109445.html,78723,Aulentissima,Oro Hubo,0.3815,0.6154,0.0000,0.0000,https://www.fragrantica.com/perfume/Aulentissima/Oro-Hubo-78723.html,107012,BellaVita,Hub Love,0.3815,0.6154,0.0000,0.0000,https://www.fragrantica.com/perfume/BellaVita/Hub-Love-107012.html,94317,Armaf,Q Uomo,0.3720,0.6000,0.0000,0.0000,https://www.fragrantica.com/perfume/Armaf/Q-Uomo-94317.html
200-CIR,ERNESTO CHE GUEVARA,,55556,WEAK,0.0342,92479,Al Rehab,CHE BELLA,0.3997,0.4000,0.3333,0.5000,https://www.fragrantica.com/perfume/Al-Rehab/CHE-BELLA-92479.html,337,Chevignon,Che by Chevignon,0.3655,0.3448,0.3333,0.5000,https://www.fragrantica.com/perfume/Chevignon/Che-by-Chevignon-337.html,32994,Chevignon,Che pour Elle,0.3583,0.3333,0.3333,0.5000,https://www.fragrantica.com/perfume/Chevignon/Che-pour-Elle-32994.html,81279,Amouage,Amber Sogara,0.3543,0.5714,0.0000,0.0000,https://www.fragrantica.com/perfume/Amouage/Amber-Sogara-81279.html,7991,Victoria s Secret,Secret Charm,0.3543,0.5714,0.0000,0.0000,https://www.fragrantica.com/perfume/Victoria-s-Secret/Secret-Charm-7991.html,50055,Croatian Perfume House,The Scent Of Hvar,0.3543,0.5714,0.0000,0.0000,https://www.fragrantica.com/perfume/Croatian-Perfume-House/The-Scent-Of-Hvar-50055.html,91791,Apiarium,Wow Che Scent,0.3481,0.3571,0.3333,0.3333,https://www.fragrantica.com/perfume/Apiarium/Wow-Che-Scent-91791.html,95475,Natura,Ryo Chuva,0.3472,0.5600,0.0000,0.0000,https://www.fragrantica.com/perfume/Natura/Ryo-Chuva-95475.html,122678,Bridgerton Parfums,Dearest Rebel Vanilla,0.3444,0.5556,0.0000,0.0000,https://www.fragrantica.com/perfume/Bridgerton-Parfums/Dearest-Rebel-Vanilla-122678.html,98107,Estee Lauder,Serene Sierra,0.3421,0.5517,0.0000,0.0000,https://www.fragrantica.com/perfume/Estee-Lauder/Serene-Sierra-98107.html
222-DIP,AMBRE,diptyque,104,WEAK,0.0177,3832,Diptyque,L Autre Eau de Toilette,0.3720,0.6000,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/L-Autre-Eau-de-Toilette-3832.html,55614,Diptyque,L Ombre Dans L Eau Limited Edition,0.3543,0.5714,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/L-Ombre-Dans-L-Eau-Limited-Edition-55614.html,49099,Diptyque,L Ombre Dans L Eau Eau de Parfum,0.3543,0.5714,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/L-Ombre-Dans-L-Eau-Eau-de-Parfum-49099.html,3962,Diptyque,L Ombre Dans L Eau Eau de Toilette,0.3543,0.5714,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/L-Ombre-Dans-L-Eau-Eau-de-Toilette-3962.html,8777,Diptyque,Vinaigre de Toilette,0.2862,0.4615,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/Vinaigre-de-Toilette-8777.html,71661,Diptyque,Eau Rose Eau De Parfum,0.2756,0.4444,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/Eau-Rose-Eau-De-Parfum-71661.html,42153,Diptyque,Eau Mage Eau de Parfum,0.2756,0.4444,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/Eau-Mage-Eau-de-Parfum-42153.html,14214,Diptyque,Eau Rose,0.2756,0.4444,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/Eau-Rose-14214.html,13297,Diptyque,Eau Mage,0.2756,0.4444,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/Eau-Mage-13297.html,96742,Diptyque,Bois Corse,0.2657,0.4286,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/Bois-Corse-96742.html
223-DIP,BAIES,diptyque,104,WEAK,0.0000,80355,Diptyque,Eau Nabati,0.3382,0.5455,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/Eau-Nabati-80355.html,78658,Diptyque,L Eau Papier,0.3382,0.5455,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/L-Eau-Papier-78658.html,104767,Diptyque,L Eau Papier,0.3382,0.5455,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/L-Eau-Papier-104767.html,106886,Diptyque,L Eau Papier Solid Perfume,0.3100,0.5000,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/L-Eau-Papier-Solid-Perfume-106886.html,58391,Diptyque,Eau Capitale Eau de Parfum,0.2862,0.4615,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/Eau-Capitale-Eau-de-Parfum-58391.html,8777,Diptyque,Vinaigre de Toilette,0.2862,0.4615,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/Vinaigre-de-Toilette-8777.html,106895,Diptyque,Eau Capitale Solid Perfume,0.2756,0.4444,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/Eau-Capitale-Solid-Perfume-106895.html,42153,Diptyque,Eau Mage Eau de Parfum,0.2756,0.4444,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/Eau-Mage-Eau-de-Parfum-42153.html,13297,Diptyque,Eau Mage,0.2756,0.4444,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/Eau-Mage-13297.html,55614,Diptyque,L Ombre Dans L Eau Limited Edition,0.2657,0.4286,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/L-Ombre-Dans-L-Eau-Limited-Edition-55614.html
227-DIP,FEU DE BOIS / WOOD FIRE,diptyque,104,WEAK,0.2358,96742,Diptyque,Bois Corse,0.4942,0.5833,0.2500,0.5000,https://www.fragrantica.com/perfume/Diptyque/Bois-Corse-96742.html,48681,Diptyque,Fleur de Peau Eau de Parfum,0.2583,0.4167,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/Fleur-de-Peau-Eau-de-Parfum-48681.html,112975,Diptyque,Fleur de Peau Eau de Toilette,0.2583,0.4167,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/Fleur-de-Peau-Eau-de-Toilette-112975.html,131717,Diptyque,Fleur de Peau,0.2583,0.4167,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/Fleur-de-Peau-131717.html,3830,Diptyque,Eau d Elide,0.2480,0.4000,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/Eau-d-Elide-3830.html,61029,Diptyque,Fleur de Peau Multiuse Fragrance,0.2420,0.3902,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/Fleur-de-Peau-Multiuse-Fragrance-61029.html,69015,Diptyque,Venise,0.2362,0.3810,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/Venise-69015.html,8777,Diptyque,Vinaigre de Toilette,0.2157,0.3478,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/Vinaigre-de-Toilette-8777.html,106889,Diptyque,Eau Rose Solid perfume,0.2067,0.3333,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/Eau-Rose-Solid-perfume-106889.html,24919,Diptyque,Geranium Odorata,0.2067,0.3333,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/Geranium-Odorata-24919.html
228-DIP,FEUILLE DE LAVANDE,diptyque,104,WEAK,0.3993,24917,Diptyque,Eau de Lavande,0.6783,0.6667,0.5000,1.0000,https://www.fragrantica.com/perfume/Diptyque/Eau-de-Lavande-24917.html,61029,Diptyque,Fleur de Peau Multiuse Fragrance,0.2790,0.4500,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/Fleur-de-Peau-Multiuse-Fragrance-61029.html,48681,Diptyque,Fleur de Peau Eau de Parfum,0.2696,0.4348,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/Fleur-de-Peau-Eau-de-Parfum-48681.html,112975,Diptyque,Fleur de Peau Eau de Toilette,0.2696,0.4348,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/Fleur-de-Peau-Eau-de-Toilette-112975.html,131717,Diptyque,Fleur de Peau,0.2696,0.4348,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/Fleur-de-Peau-131717.html,3830,Diptyque,Eau d Elide,0.2611,0.4211,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/Eau-d-Elide-3830.html,3829,Diptyque,Eau Lente Eau de Toilette,0.2611,0.4211,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/Eau-Lente-Eau-de-Toilette-3829.html,3960,Diptyque,Olene Eau de Toilette,0.2611,0.4211,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/Olene-Eau-de-Toilette-3960.html,49100,Diptyque,Eau Duelle Eau de Parfum,0.2480,0.4000,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/Eau-Duelle-Eau-de-Parfum-49100.html,9241,Diptyque,Eau Duelle Eau de Toilette,0.2480,0.4000,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/Eau-Duelle-Eau-de-Toilette-9241.html
230-DIP,OPOPANAX,diptyque,104,WEAK,0.0509,3959,Diptyque,Opone,0.3815,0.6154,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/Opone-3959.html,65738,Diptyque,Orpheon Eau de Parfum,0.3307,0.5333,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/Orpheon-Eau-de-Parfum-65738.html,125429,Diptyque,Orpheon,0.3307,0.5333,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/Orpheon-125429.html,31738,Diptyque,Oud Palao Eau de Parfum,0.3100,0.5000,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/Oud-Palao-Eau-de-Parfum-31738.html,90244,Diptyque,Do Son Limited Edition,0.2862,0.4615,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/Do-Son-Limited-Edition-90244.html,55613,Diptyque,Do Son Limited Edition,0.2862,0.4615,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/Do-Son-Limited-Edition-55613.html,49098,Diptyque,Do Son Eau de Parfum,0.2862,0.4615,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/Do-Son-Eau-de-Parfum-49098.html,6501,Diptyque,Do Son Eau de Toilette,0.2862,0.4615,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/Do-Son-Eau-de-Toilette-6501.html,106892,Diptyque,Orpheon Solid Perfume,0.2480,0.4000,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/Orpheon-Solid-Perfume-106892.html,55614,Diptyque,L Ombre Dans L Eau Limited Edition,0.2188,0.3529,0.0000,0.0000,https://www.fragrantica.com/perfume/Diptyque/L-Ombre-Dans-L-Eau-Limited-Edition-55614.html
233-ESCE,Molecule 02,,55556,REVIEW,0.0092,99691,Angeline,X Molecule,0.8161,0.8889,0.5000,1.0000,https://www.fragrantica.com/perfume/Angeline/X-Molecule-99691.html,75616,BLAK,Molecule Ziemia B 02,0.8069,0.7692,1.0000,0.6667,https://www.fragrantica.com/perfume/BLAK/Molecule-Ziemia-B-02-75616.html,75615,BLAK,Molecule B 01,0.7480,0.9000,0.5000,0.5000,https://www.fragrantica.com/perfume/BLAK/Molecule-B-01-75615.html,80232,Ainash Parfums,Rose Molecule,0.6409,0.7273,0.5000,0.5000,https://www.fragrantica.com/perfume/Ainash-Parfums/Rose-Molecule-80232.html,111582,Christine Lavoisier Parfums,Elle 9 Molecule,0.6409,0.7273,0.5000,0.5000,https://www.fragrantica.com/perfume/Christine-Lavoisier-Parfums/Elle-9-Molecule-111582.html,99703,Angeline,Black Molecule,0.6213,0.6957,0.5000,0.5000,https://www.fragrantica.com/perfume/Angeline/Black-Molecule-99703.html,86763,The Dua Brand,Ginger Molecule 1 0,0.6033,0.6667,0.5000,0.5000,https://www.fragrantica.com/perfume/The-Dua-Brand/Ginger-Molecule-1-0-86763.html,86787,The Dua Brand,Orchid Molecule 7 0,0.6033,0.6667,0.5000,0.5000,https://www.fragrantica.com/perfume/The-Dua-Brand/Orchid-Molecule-7-0-86787.html,135483,Brecourt,Erotic Molecule,0.6033,0.6667,0.5000,0.5000,https://www.fragrantica.com/perfume/Brecourt/Erotic-Molecule-135483.html,140539,ArteOlfatto,Sublime Molecule,0.5868,0.6400,0.5000,0.5000,https://www.fragrantica.com/perfume/ArteOlfatto/Sublime-Molecule-140539.html
235-HOLL,SOCAL,,55556,REVIEW,0.2275,70794,Abercrombie Fitch,SoCal Sunset,0.6925,0.6250,1.0000,0.5000,https://www.fragrantica.com/perfume/Abercrombie-Fitch/SoCal-Sunset-70794.html,26099,Natura,Sol,0.4650,0.7500,0.0000,0.0000,https://www.fragrantica.com/perfume/Natura/Sol-26099.html,53738,Botanicae,Shomal,0.4509,0.7273,0.0000,0.0000,https://www.fragrantica.com/perfume/Botanicae/Shomal-53738.html,60942,Jean Paul Gaultier,So Scandal,0.4429,0.7143,0.0000,0.0000,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/So-Scandal-60942.html,129688,Cricket Avenue,Socialite,0.4429,0.7143,0.0000,0.0000,https://www.fragrantica.com/perfume/Cricket-Avenue/Socialite-129688.html,77737,Avon,Calm,0.4133,0.6667,0.0000,0.0000,https://www.fragrantica.com/perfume/Avon/Calm-77737.html,98903,Fragrance World,Salt,0.4133,0.6667,0.0000,0.0000,https://www.fragrantica.com/perfume/Fragrance-World/Salt-98903.html,116827,Fragrance World,Scarlet,0.4133,0.6667,0.0000,0.0000,https://www.fragrantica.com/perfume/Fragrance-World/Scarlet-116827.html,45651,Jean Paul Gaultier,Scandal,0.4133,0.6667,0.0000,0.0000,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Scandal-45651.html,68074,Jean Paul Gaultier,Scandal Pour Homme,0.4133,0.6667,0.0000,0.0000,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Scandal-Pour-Homme-68074.html
